City,Date,Temperature,Temp_Min,Temp_Max,Pressure,Sea_Level,Humidity,Wind Speed,Country,Lon,Lat,Description
Abou Dabi,2023-12-15 09:00:00,296.84,296.84,296.84,1017,1017,56,9.5,AE,54.3667,24.4667,0
Santiago,2023-12-15 15:00:00,299.37,299.37,299.37,1011,1011,21,2.69,CL,-70.6483,-33.4569,0
Madrid,2023-12-16 15:00:00,284.62,284.62,284.62,1035,1035,28,2.51,ES,-3.7026,40.4165,0
Bagdad,2023-12-16 00:00:00,287.12,287.12,287.12,1022,1022,46,3.57,IQ,44.4009,33.3406,0
Sanaa,2023-12-15 06:00:00,285.03,285.03,285.03,1023,1023,38,2.0,YE,44.2067,15.3547,0
Niamey,2023-12-15 03:00:00,294.31,294.31,294.31,1010,1010,18,3.81,NE,2.1098,13.5137,0
Dhâkâ,2023-12-15 12:00:00,293.63,293.63,293.63,1013,1013,55,3.19,BD,90.4167,24.1667,0
Santiago,2023-12-15 06:00:00,290.48,290.48,290.48,1010,1010,38,0.68,CL,-70.6483,-33.4569,0
Katmandou,2023-12-16 00:00:00,280.37,280.37,280.37,1016,1016,83,0.83,NP,85.3167,27.7167,0
Téhéran,2023-12-16 00:00:00,280.98,280.98,280.98,1023,1023,39,0.53,IR,51.4215,35.6944,0
Port-Vila,2023-12-15 09:00:00,297.39,297.39,297.39,1011,1011,66,4.72,VU,168.3219,-17.7338,0
Managua,2023-12-16 12:00:00,295.91,295.91,295.91,1011,1011,92,2.52,NI,-86.2504,12.1328,0
Khartoum,2023-12-15 09:00:00,299.91,299.91,299.91,1014,1014,28,6.78,SD,32.5324,15.5518,0
Port-au-Prince,2023-12-16 09:00:00,295.64,295.64,295.64,1013,1013,81,2.35,HT,-72.335,18.5392,0
Riyad,2023-12-15 21:00:00,286.41,286.41,286.41,1023,1023,41,2.75,SA,46.7219,24.6877,0
Ndjamena,2023-12-15 12:00:00,305.13,305.13,305.13,1010,1010,11,4.04,TD,15.0444,12.1067,0
Pékin,2023-12-16 12:00:00,262.94,262.94,262.94,1036,1036,65,4.01,CN,116.3972,39.9075,0
Amman,2023-12-15 15:00:00,288.84,288.84,288.84,1021,1021,53,1.9,JO,35.945,31.9552,0
Nassau,2023-12-16 06:00:00,279.29,279.29,279.29,1025,1025,59,3.79,US,-73.5829,40.7507,0
Abou Dabi,2023-12-16 06:00:00,296.64,296.64,296.64,1021,1021,50,3.62,AE,54.3667,24.4667,0
Rabat,2023-12-15 09:00:00,286.1,286.1,286.1,1025,1025,55,2.64,MA,-6.8401,33.9911,0
